uniprot	gene
A8K3K1	ACTC1
A8K3X3	DSN1
A8K4K1	NEU1
B2R4P2	PRDX1
B2R8Z8	SYNCRIP
B2RAA8	ACBD6
B2RB23	ACAA2
B3KP90	PPM1B
B3KW34	YIPF5
B4DE59	JUP
B4DKM0	MRPL3
B4DN86	AKAP1
B4DRC8	NHLRC3
B4DRS6	SFXN3
B4DVA7	HEXA
B4DX78	DDX39A
B4DZF8	PTPA
B4E1H4	TMEM9
B4E1T5	APOL2
B7Z1K5	TUBA1C
D7RXV9	NA
H6QX63	CCDC137
Q14473	HBB
Q16715	PKLR
Q53EN0	ZNF330
Q53FI8	POLR3F
Q53GA1	EEF1A1
Q53HA8	MCOLN1
Q86X69	PON2
Q9Y3E8	GLOD4
