gene	C1	C2	C3	PAC51	PAC52	PAC53	logFC	AveExpr	t	P.Value	adj.P.Val	B	change	significance
ZNF586	4.731	5.345	4.898	4.9	5.861	4.895	0.1488	2.609	1.554	0.1712	0.6299	-4.712	NOT	FALSE
ZNF587	5.435	4.875	5.191	6.028	5.117	4.623	0.09872	2.631	1.568	0.1679	0.6268	-4.696	NOT	FALSE
ZNF587B	5.504	5.432	7.023	6.898	7.46	6.495	0.284	2.895	3.215	0.01823	0.4607	-2.796	UP	TRUE
ZNF589	12.72	9.321	11.89	13.18	13.65	11.74	0.245	3.703	2.965	0.02509	0.477	-3.068	UP	TRUE
ZNF592	32.25	30.41	33.13	31.32	31.34	32.18	0.006871	5.033	0.124	0.9053	0.9708	-5.754	NOT	FALSE
ZNF594	11.46	8.929	11.33	11.51	10.56	9.309	0.06712	3.521	0.9131	0.3964	0.7565	-5.353	NOT	FALSE
ZNF596	1.284	0.8059	1.108	1.233	1.231	0.8681	0.08412	1.057	0.9785	0.3656	0.7388	-5.297	NOT	FALSE
ZNF597	3.723	2.911	4.319	4.005	3.383	2.465	-0.04787	2.138	-0.3871	0.7121	0.9032	-5.684	NOT	FALSE
ZNF598	72.52	66.83	70.41	72.99	71.67	79.44	0.07404	6.19	1.199	0.2759	0.6946	-5.091	NOT	FALSE
ZNF599	4.459	4.336	4.548	4.638	4.559	4.046	0.08416	2.444	1.813	0.1198	0.5927	-4.414	NOT	FALSE
ZNF600	1.593	1.393	1.679	1.742	1.618	1.388	0.06403	1.358	1.202	0.2745	0.6934	-5.087	NOT	FALSE
ZNF605	6.643	5.253	6.64	6.683	7.519	4.234	0.05834	2.823	0.4278	0.6837	0.8912	-5.667	NOT	FALSE
ZNF607	3.865	2.802	4.93	4.045	3.837	2.901	0.02689	2.225	0.1956	0.8514	0.9555	-5.742	NOT	FALSE
ZNF609	20.19	18.53	19.11	19.12	17.32	18.49	-0.01817	4.304	-0.2512	0.81	0.943	-5.729	NOT	FALSE
ZNF610	0.03885	0	0	0	0	0	-0.01635	0.008173	-0.3967	0.7053	0.9014	-5.68	NOT	FALSE
ZNF611	0.5781	0.6193	0.8069	0.8942	1.013	0.5748	0.1697	0.7986	1.834	0.1164	0.5882	-4.39	NOT	FALSE
ZNF613	1.358	1.723	2.11	1.997	1.879	1.517	0.09914	1.459	0.8575	0.4241	0.7663	-5.398	NOT	FALSE
ZNF614	3.768	4.117	4.325	4.348	3.951	3.262	0.0196	2.311	0.2685	0.7973	0.9388	-5.724	NOT	FALSE
ZNF615	2.531	2.118	2.385	2.284	1.888	1.162	-0.2363	1.593	-1.802	0.1215	0.5952	-4.426	NOT	FALSE
ZNF616	2.788	2.687	3.719	3.891	3.246	3.102	0.2034	2.082	2.048	0.08643	0.5574	-4.136	NOT	FALSE
ZNF618	2.401	2.211	2.25	1.805	2.123	1.872	-0.1036	1.636	-1.694	0.1412	0.6076	-4.552	NOT	FALSE
ZNF619	3.601	3.187	3.014	2.735	3.278	2.171	-0.1387	1.988	-1.531	0.1767	0.6317	-4.738	NOT	FALSE
ZNF620	1.355	1.521	1.583	1.303	0.8917	1.646	-0.07849	1.245	-0.5207	0.6212	0.866	-5.622	NOT	FALSE
ZNF621	13.04	10.91	14.11	12.07	11.4	11.16	-0.055	3.709	-0.7302	0.4927	0.8065	-5.494	NOT	FALSE
ZNF622	215.3	218.2	218.1	229.5	240.5	244.3	0.08034	7.835	1.684	0.1432	0.6096	-4.564	NOT	FALSE
ZNF623	11.8	11.13	12.21	11.2	11.52	9.2	-0.0565	3.605	-1.239	0.2617	0.6851	-5.05	NOT	FALSE
ZNF624	1.11	1.033	0.9298	1.113	1.363	0.5278	0.003914	0.9977	0.02641	0.9798	0.995	-5.761	NOT	FALSE
ZNF627	3.887	3.832	3.903	4.479	3.584	3.015	0.01903	2.256	0.2339	0.8228	0.9478	-5.733	NOT	FALSE
ZNF628	10.19	9.735	9.486	9.77	11.57	11.7	0.2189	3.507	1.959	0.09782	0.5656	-4.242	NOT	FALSE
ZNF629	13.85	14.18	13.39	12.82	13.17	14.1	0.01697	3.868	0.1673	0.8726	0.9619	-5.747	NOT	FALSE
ZNF630	0.637	0.2258	0.6437	0.5137	0.5031	0.3869	0.01044	0.5564	0.09495	0.9274	0.9783	-5.757	NOT	FALSE
ZNF638	32.46	28.02	33.6	33.71	33.74	28.86	0.06077	5.032	1.02	0.3472	0.7274	-5.261	NOT	FALSE
