name	C1	C2	C3	PAC21	PAC22	PAC23	PAC51	PAC52	PAC53
120	ENSG00000165661	14.37749077	13.03159261	14.41883253	13.77153667	13.47571734	13.74864295	14.48503191	14.00349238	16.53216225
121	ENSG00000165660	11.10643635	9.229629469	11.4718519	9.919796988	10.23857437	11.45237943	10.78975898	11.26006969	8.23928158
122	ENSG00000226312	0.047981148	0.029914197	0.040981393	0.060692922	0.061641753	0.00994492	0.070748132	0.01070723	0.011353357
123	ENSG00000226314	0.492190053	0.340954973	0.665612179	0.570705005	0.421546918	0.442064431	0.483822334	0.604090524	0.368798245
124	ENSG00000257624	0.168380808	0	0	0	0.180266774	0.348998235	0	0	0
125	ENSG00000109501	2.331549979	2.336519932	1.938280023	2.302283056	2.446802905	2.416269524	2.416795249	2.447246242	2.147900214
126	ENSG00000257621	6.230930767	5.307949653	6.382717751	5.887612121	6.238072227	6.143197984	6.042228512	6.025339522	3.672643257
127	ENSG00000122034	31.47318399	32.96285306	32.41843229	32.44578365	31.95893833	33.06202976	31.99487364	32.68925585	36.9901684
128	ENSG00000213463	4.714447081	4.290257132	5.292276761	4.801194855	4.793927058	4.763148366	4.984008036	4.659653788	3.072278848
129	ENSG00000213462	0.472820965	0.425168764	0.465972948	0.527159739	0.438055355	0.490001458	0.507557856	0.578288748	0.322729231
130	ENSG00000213465	13.43095492	14.08046693	11.93179929	13.80008717	13.48168839	14.62217199	13.03166238	13.53854246	14.70969069
131	ENSG00000112739	16.44762756	13.86278712	19.11959517	17.17584471	16.35656618	16.88622566	18.67725223	18.74746224	12.26536158
132	ENSG00000258428	0	0	0.096319607	0	0	0	0	0	0
133	ENSG00000258429	10.48730343	9.105971029	6.672004275	10.90334196	9.189713706	10.57060804	7.905759008	13.7051437	9.985561975
134	ENSG00000188677	4.117994546	4.489144528	4.156627554	4.257913611	4.372595481	4.500512095	4.266122876	4.087011814	4.951784453
135	ENSG00000074319	22.62048561	23.07707419	23.94240982	25.35190315	24.46082541	24.49778522	22.64895891	23.52289503	22.9557075
136	ENSG00000258427	0.158438322	0.082316272	0.169155576	0	0.16962245	0.16419536	0.083434668	0.353562938	0.187449334
137	ENSG00000258424	1.247701785	0.144053476	0.296022259	1.753620832	1.187357152	0.718354701	1.022074681	0.928102713	0.820090835
138	ENSG00000185710	0.350440883	0.199247256	0.225899339	0.292734797	0.25483818	0.219275203	0.306413486	0.272971386	0.156456121
139	ENSG00000185716	1.915778631	1.990676916	1.994596238	1.933508758	2.043739952	1.760098092	1.888932533	1.690353684	1.036834868
140	ENSG00000223923	0.219665807	0	0	0.077184016	0.078390657	0	0	0.081699183	0
141	ENSG00000223922	0	0.070672188	0	0.071693411	0.109221324	0.070484517	0.214897141	0.037943692	0.040233402
142	ENSG00000259590	0	0.401387395	0.274943274	0	0	0	0.406840873	0.431007452	0
143	ENSG00000259595	0	0	0	0	0	0	0.070085121	0	0
144	ENSG00000116922	7.400666882	6.608136455	8.001413553	7.494613165	6.708005559	6.017071177	7.517870022	6.698080025	5.914863529
145	ENSG00000257198	0	0.010017627	0	0	0	0	0	0	0
146	ENSG00000257195	0.179267498	0	0	0	0.047980488	0.046445347	0	0.050005534	0
147	ENSG00000257194	0.044913671	0	0	0	0	0	0.094607345	0	0
148	ENSG00000001629	12.19702867	11.20101643	12.8663812	11.81787952	11.09712653	11.7213725	11.35934333	11.74121525	6.576829442
149	ENSG00000132698	0	0.025436164	0.052269969	0	0	0	0	0	0
150	ENSG00000104177	0.005913138	0.003072158	0.003156561	0	0.003165273	0	0	0	0
151	ENSG00000001626	0.009766364	0.030444553	0.015640486	0.020589654	0.010455769	0.010121236	0	0.016345592	0
152	ENSG00000260190	0.050719585	0.158107474	0.162451239	0	0.325799218	0.105125078	0.320511224	0.056591629	0.240026586
153	ENSG00000055483	13.96993661	13.29940376	12.29926807	12.27629527	13.45178581	11.15919496	12.68324402	11.41661811	12.1641627
154	ENSG00000183655	0.714388056	0.670480232	0.781164154	0.710533444	0.721641433	0.806022036	0.612844336	0.835665277	0.708874748
155	ENSG00000169221	7.785331337	7.754244437	7.006169444	7.310025638	7.298019215	7.547067303	7.029174605	7.509056138	8.314758842
156	ENSG00000169220	0.547669996	0.671516072	0.268969395	0.392567213	0.433884132	0.442704767	0.323015438	0.281095107	0.453566171
157	ENSG00000169223	76.1749202	80.91319347	70.77782938	79.58998241	79.5118729	74.59063621	70.80619194	70.4641411	77.95212159
158	ENSG00000169228	2.59811994	2.322993101	2.5803393	2.123027642	2.220904115	2.212462905	2.206069184	2.35958317	2.478143733
159	ENSG00000261369	0	0	0	0.050391403	0	0	0	0	0
160	ENSG00000134308	158.4653318	168.6747798	165.1581614	175.0227353	174.6898662	174.8199439	178.215897	183.8074412	150.4094351
161	ENSG00000261363	0.179267498	0	0.095696851	0	0	0	0	0	0
162	ENSG00000089022	2.722981906	2.681332373	2.862788443	2.760769624	2.625902311	2.898858183	2.65208583	2.71022426	2.754324779
163	ENSG00000261367	0	0.156296719	0.160590737	0.079277614	0	0.155881671	0.158420255	0	0.177958228
164	ENSG00000261366	0.385093144	0.152437541	0.137047342	0.251290463	0.314115649	0.190040926	0.251076547	0.204608182	0.021695525
165	ENSG00000197978	1.720270101	1.386646143	1.505770157	1.540018295	1.631803567	1.533713504	1.478757685	1.460745603	0.658467093
166	ENSG00000197971	2.269970479	2.04994713	2.561868701	1.70746052	1.741329586	1.900948298	2.160157839	2.091534184	2.653895884
167	ENSG00000197976	17.09530053	15.3880928	17.06395793	17.05207987	17.46070609	17.26166683	16.50010134	16.85388977	19.23540662
168	ENSG00000197977	0.665940407	0.54060599	0.611004162	0.701974814	0.523571924	0.603870852	0.56986901	0.568889579	0.51704501
169	ENSG00000061676	9.760366985	9.341727198	10.77944286	9.540958814	9.371791017	9.868126569	10.39645237	10.36903387	7.776296484
170	ENSG00000146842	12.93408028	11.30573089	13.17451447	13.07201072	13.0892466	11.74666166	12.61907713	12.51056715	6.451817787
171	ENSG00000235386	0.396095805	0	0.422888941	0	0	0	0.417173339	0	0
172	ENSG00000235387	0.141162697	0.09167595	0.20722814	0.055800408	0.188909178	0.292584011	0.223011628	0.275635087	0.31314457
173	ENSG00000169599	15.40933475	17.42804458	15.40070285	16.38282548	15.42294252	17.10710877	15.0928643	16.39070791	16.28236787
174	ENSG00000169598	2.375039574	2.345056588	2.157061419	2.480897689	2.278068954	2.260868284	2.433511146	2.23032435	2.517488143
175	ENSG00000224003	0	0	0	0	0	0.052949978	0	0	0
176	ENSG00000224001	0	0.155733488	0.080006016	0.078991929	0	0	0	0	0
177	ENSG00000224007	0.040615292	0	0	0.042813009	0	0	0	0	0
178	ENSG00000169592	6.345290514	6.27329654	6.226406296	7.193712845	7.137626722	6.845414284	6.286436957	6.636942545	7.053644999
179	ENSG00000224004	0	0	0	0	0	0	0.048942124	0.103698627	0
180	ENSG00000188177	1.455282096	1.446271026	1.587580189	1.582314824	1.49765141	1.635971733	1.62550215	1.501886116	1.154783502
181	ENSG00000229999	0.046573415	0	0	0	0	0.193062854	0	0.051965437	0
182	ENSG00000106144	10.45974439	9.570036418	10.39215298	10.74147424	10.99267687	10.9902895	10.40462559	10.74492979	10.39940622
183	ENSG00000087510	0.290646007	0.244483437	0.384188622	0.350140599	0.162989958	0.143431887	0.204074812	0.216196972	0.327490516
184	ENSG00000234380	0.02584036	0.026850601	0	0.013619298	0.041496639	0.026779299	0	0.01441601	0.015285943
185	ENSG00000234383	0.031270721	0.064986531	0.066771938	0.065925595	0.06695623	0.162034895	0.065869475	0	0.036996579
186	ENSG00000234382	1.124055662	1.168001158	1.764838585	1.881866553	0.849460601	1.301946517	2.367740575	1.696849158	1.564561211
187	ENSG00000234384	0.056051293	0	0.059842775	0.11816852	0	0	0	0	0
188	ENSG00000111817	0.221577302	0.238873971	0.23656547	0.230647386	0.237218397	0.186573211	0.242119449	0.213236172	0.190058345
189	ENSG00000111816	0.763899052	0.699035009	0.802146483	0.808547776	0.710125734	0.801429735	0.682045301	0.75061973	0.490938731
190	ENSG00000107819	24.32897241	24.92551294	23.97070762	26.7057027	25.88289883	26.28331258	23.12650087	23.38794789	25.17117496
191	ENSG00000117245	0.065129847	0.029004056	0.039734531	0.058846337	0.02988315	0.028927035	0.029398121	0.020762924	0.066047584
192	ENSG00000107816	12.00629486	11.34033322	11.81466568	12.74971004	12.37094848	12.27138991	11.17326181	11.58887992	12.9571095
193	ENSG00000169189	12.57630447	12.62091861	11.73096165	13.04749718	14.19631926	13.61634667	13.00153356	13.56457812	13.84800598
194	ENSG00000107815	14.09651675	14.69690396	13.65769742	12.98469245	12.88306203	12.21284902	14.94653112	14.11467496	15.77996902
195	ENSG00000181090	2.551525909	2.511226146	2.502272142	2.581059604	2.501161934	2.473517335	2.438878299	2.466780629	2.666577931
196	ENSG00000102393	34.86314432	33.19159512	36.85584634	34.43550836	35.08166015	37.75797543	39.70924532	40.85449717	44.79721363
197	ENSG00000102390	1.385180999	1.295401783	1.626766783	1.314120524	1.742478751	1.794391427	1.385946398	1.777382382	1.433963991
198	ENSG00000181097	0.296617847	0.176122436	0.294061846	0.223334288	0.408286336	0.285438954	0.401659507	0.449158216	0.375996817
199	ENSG00000143319	8.457119665	7.999320737	7.74653459	7.406731851	7.937150857	7.707773931	7.367128954	7.116865163	8.051290862
200	ENSG00000143318	0.095565394	0.019860314	0.040811892	0.060441895	0.14323587	0.039615149	0.060390442	0.085303558	0.067838396
201	ENSG00000134049	8.655202109	7.750980107	9.376712599	8.772237136	8.615545205	8.695427162	8.723475025	7.841735159	1.843899732
202	ENSG00000274578	0.176603225	0	0	0	0	0.091510153	0	0.098524704	0
203	ENSG00000168172	1.745418891	1.513269959	1.880954548	1.721998162	1.801473842	1.664698697	1.798085482	1.551909455	0.793740375
204	ENSG00000134042	0.022582838	0	0.02411041	0.031739744	0.01611797	0.015602274	0.015856362	0.033596478	0.008905964
205	ENSG00000143315	3.61108412	3.402050142	3.680573116	3.684674474	3.659803677	4.011742392	3.651111884	3.24481384	2.597555595
